trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
177,False,"{'a': 0.75, 'e': 0.00014338173627629318}",20,10,17.711713803882205,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.75, 'e': 0.0001363889264820114}",20,13,14.356257292971769,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.75, 'e': 0.0001297371600457538}",30,12,35.78907777388616,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.75, 'e': 0.00012340980408667956}",25,15,23.31180296544304,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.75, 'e': 0.00011739103691911796}",25,14,20.993214690043292,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.75, 'e': 0.00011166580849011478}",30,21,19.842104427589923,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.75, 'e': 0.00010621980274645875}",30,14,29.810322393097636,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.75, 'e': 0.00010103940183709324}",25,13,24.51006560324852,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.75, 'e': 9.61116520613947e-05}",25,12,24.476003179384907,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.75, 'e': 9.142423147817327e-05}",20,5,29.68435994715205,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.75, 'e': 8.696541909440292e-05}",25,10,29.427416899577064,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.75, 'e': 8.272406555663223e-05}",30,22,16.34447909356967,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.75, 'e': 7.868956527179456e-05}",20,11,18.495803011062044,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.75, 'e': 7.48518298877006e-05}",25,8,27.69680052343351,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.75, 'e': 7.120126306690273e-05}",20,3,29.204525914782405,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.75, 'e': 6.772873649085378e-05}",20,8,17.162827184995805,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.75, 'e': 6.442556703435542e-05}",20,6,26.97027011234757,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.75, 'e': 6.128349505322202e-05}",25,19,11.594666210802796,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.75, 'e': 5.829466373086881e-05}",25,15,17.076794810621518,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.75, 'e': 5.5451599432176945e-05}",25,18,13.870835504855986,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
